name	type	model	replicate	fraction	pcc_train_Dev	pcc_train_Hk	pcc_val_Dev	pcc_val_Hk	pcc_test_Dev	pcc_test_Hk
deepstarr_9_rep1_frac1.0	homologs	deepstarr_9	1	1.0	0.6348133087158203	0.7340626120567322	0.6641888618469238	0.7470447421073914	0.6811295902478886	0.7662547930347433
deepstarr_9_rep1_frac1.0	homologs_finetune	deepstarr_9	1	1.0	0.7095967531204224	0.7706863284111023	0.6842186450958252	0.7614646553993225	0.6951997692747461	0.7724341490415602
deepstarr_10_rep1_frac1.0	homologs	deepstarr_10	1	1.0	0.6518628001213074	0.7455539107322693	0.6801533699035645	0.7529903650283813	0.687688634640351	0.7710577658189326
deepstarr_10_rep1_frac1.0	homologs_finetune	deepstarr_10	1	1.0	0.7262051701545715	0.7815257906913757	0.6892186999320984	0.7580471634864807	0.6981778337234009	0.7757141184449812
deepstarr_11_rep1_frac1.0	homologs	deepstarr_11	1	1.0	0.6382167339324951	0.7380160093307495	0.679693341255188	0.7477571368217468	0.6869050999175249	0.7703836472482148
deepstarr_11_rep1_frac1.0	homologs_finetune	deepstarr_11	1	1.0	0.719477653503418	0.7777000069618225	0.6916226744651794	0.7635961174964905	0.6982166437222084	0.7756209554960309
deepstarr_12_rep1_frac1.0	homologs	deepstarr_12	1	1.0	0.6282633543014526	0.7311303615570068	0.6790359020233154	0.758556604385376	0.681921106548371	0.7703529674337339
deepstarr_12_rep1_frac1.0	homologs_finetune	deepstarr_12	1	1.0	0.7143938541412354	0.7728875875473022	0.68732750415802	0.762840747833252	0.695652963180537	0.776242115478144
deepstarr_13_rep1_frac1.0	homologs	deepstarr_13	1	1.0	0.6175978183746338	0.7225808501243591	0.6718571186065674	0.7547225952148438	0.6876538177481939	0.768543401274251
deepstarr_13_rep1_frac1.0	homologs_finetune	deepstarr_13	1	1.0	0.7077053189277649	0.7669921517372131	0.6903359889984131	0.7603485584259033	0.6996121861381548	0.7748002554450133
deepstarr_14_rep1_frac1.0	homologs	deepstarr_14	1	1.0	0.6279600262641907	0.7306600213050842	0.6802915334701538	0.7498557567596436	0.6889999144384357	0.7723914502517837
deepstarr_14_rep1_frac1.0	homologs_finetune	deepstarr_14	1	1.0	0.7186824083328247	0.7760434746742249	0.6905699372291565	0.763737142086029	0.7001929253066995	0.7763481834131547
deepstarr_15_rep1_frac1.0	homologs	deepstarr_15	1	1.0	0.6002445816993713	0.7116076350212097	0.6615846157073975	0.7505871057510376	0.6719791073631678	0.7633432941012634
deepstarr_15_rep1_frac1.0	homologs_finetune	deepstarr_15	1	1.0	0.6936643719673157	0.7589453458786011	0.6789668798446655	0.7553377151489258	0.6904807564989813	0.7687657300786881
deepstarr_16_rep1_frac1.0	homologs	deepstarr_16	1	1.0	0.6028660535812378	0.7164319157600403	0.6778191924095154	0.7525191903114319	0.669091244613141	0.7669326081901987
deepstarr_16_rep1_frac1.0	homologs_finetune	deepstarr_16	1	1.0	0.6969437003135681	0.7627583742141724	0.6856282353401184	0.7610915303230286	0.69192203052336	0.7747680494736204
deepstarr_17_rep1_frac1.0	homologs	deepstarr_17	1	1.0	0.5936204791069031	0.7071474194526672	0.6680845022201538	0.7478730082511902	0.6715915381753853	0.7617600379191233
deepstarr_17_rep1_frac1.0	homologs_finetune	deepstarr_17	1	1.0	0.690552830696106	0.7561187744140625	0.6863519549369812	0.7568536996841431	0.6888868455057593	0.7717930076848057
deepstarr_18_rep1_frac1.0	homologs	deepstarr_18	1	1.0	0.6237558126449585	0.7307071685791016	0.683277428150177	0.7582888603210449	0.6883277585167776	0.7732240025532058
deepstarr_18_rep1_frac1.0	homologs_finetune	deepstarr_18	1	1.0	0.7191178202629089	0.7770503163337708	0.6968504190444946	0.7649606466293335	0.7018022637702634	0.7784215480668336
deepstarr_19_rep1_frac1.0	homologs	deepstarr_19	1	1.0	0.6187330484390259	0.7289096713066101	0.681789755821228	0.7606585025787354	0.6840331509264661	0.7738693235423947
deepstarr_19_rep1_frac1.0	homologs_finetune	deepstarr_19	1	1.0	0.7158815860748291	0.7768570184707642	0.6956151723861694	0.7693207859992981	0.6943719166124266	0.7796964867002083
deepstarr_20_rep1_frac1.0	homologs	deepstarr_20	1	1.0	0.6008357405662537	0.7152059674263	0.6733167171478271	0.7494163513183594	0.6799980556594545	0.7699926166339346
deepstarr_20_rep1_frac1.0	homologs_finetune	deepstarr_20	1	1.0	0.7035936713218689	0.7659170031547546	0.6881981492042542	0.7624615430831909	0.6955372852095867	0.7758094024704691
deepstarr_1_rep1_frac1.0	homologs	deepstarr_1	1	1.0	0.6997127532958984	0.7673685550689697	0.6619581580162048	0.7376111149787903	0.6728810868468659	0.7544880264837222
deepstarr_1_rep1_frac1.0	homologs_finetune	deepstarr_1	1	1.0	0.733045220375061	0.7856744527816772	0.6762740015983582	0.7497296929359436	0.6845504832934441	0.7608711860504672
deepstarr_2_rep1_frac1.0	homologs	deepstarr_2	1	1.0	0.7067159414291382	0.7720668911933899	0.6695424914360046	0.7384350299835205	0.6775967070868358	0.7599328806134924
deepstarr_2_rep1_frac1.0	homologs_finetune	deepstarr_2	1	1.0	0.7414686679840088	0.7923628687858582	0.6766676306724548	0.7470206618309021	0.6871397137721018	0.7651964691733871
deepstarr_3_rep1_frac1.0	homologs	deepstarr_3	1	1.0	0.6782329678535461	0.7542695999145508	0.6694123148918152	0.7366738319396973	0.6718776405044388	0.7585570090744591
deepstarr_3_rep1_frac1.0	homologs_finetune	deepstarr_3	1	1.0	0.7149810194969177	0.7725080847740173	0.6831818222999573	0.750554621219635	0.6888757181643267	0.7654938644670193
deepstarr_4_rep1_frac1.0	homologs	deepstarr_4	1	1.0	0.6856397986412048	0.7633959650993347	0.6723000407218933	0.7512290477752686	0.6847455724965843	0.7665097262335855
deepstarr_4_rep1_frac1.0	homologs_finetune	deepstarr_4	1	1.0	0.731776237487793	0.7850846648216248	0.6847937107086182	0.7514245510101318	0.6913833254460517	0.7700135756475969
deepstarr_5_rep1_frac1.0	homologs	deepstarr_5	1	1.0	0.675209105014801	0.7591469287872314	0.677505612373352	0.7465968132019043	0.6856748276714019	0.763062913010406
deepstarr_5_rep1_frac1.0	homologs_finetune	deepstarr_5	1	1.0	0.7300760746002197	0.7863513231277466	0.6824216246604919	0.7566229104995728	0.6926094423388764	0.7693339969682143
deepstarr_6_rep1_frac1.0	homologs	deepstarr_6	1	1.0	0.6672543287277222	0.7521243095397949	0.6786729097366333	0.7544685006141663	0.6823022386787138	0.7656521652902449
deepstarr_6_rep1_frac1.0	homologs_finetune	deepstarr_6	1	1.0	0.7289083003997803	0.7821529507637024	0.6858606338500977	0.7552030086517334	0.6949543824371646	0.7707931042083637
deepstarr_7_rep1_frac1.0	homologs	deepstarr_7	1	1.0	0.6483641266822815	0.7397457957267761	0.6762637495994568	0.7492349743843079	0.6833808373547775	0.7670273746476354
deepstarr_7_rep1_frac1.0	homologs_finetune	deepstarr_7	1	1.0	0.7141580581665039	0.7723515033721924	0.6890799403190613	0.7599124908447266	0.6963527817487116	0.7739431267415825
deepstarr_8_rep1_frac1.0	homologs	deepstarr_8	1	1.0	0.6563895344734192	0.7462350130081177	0.6720792055130005	0.7471055388450623	0.6874850767776695	0.7662780908118783
deepstarr_8_rep1_frac1.0	homologs_finetune	deepstarr_8	1	1.0	0.72248375415802	0.7784035801887512	0.6843307018280029	0.7592246532440186	0.6979434471526839	0.7716013657358326
deepstarr_9_rep1_frac1.0	homologs	deepstarr_9	1	1.0	0.6403369903564453	0.7356270551681519	0.6730825304985046	0.7538533210754395	0.6813355292833997	0.7673780502587958
deepstarr_9_rep1_frac1.0	homologs_finetune	deepstarr_9	1	1.0	0.7134678959846497	0.7723243832588196	0.6896808743476868	0.7594152688980103	0.6921419193261049	0.7726184249235913
deepstarr_10_rep1_frac1.0	homologs	deepstarr_10	1	1.0	0.6412636637687683	0.7363848090171814	0.6767764091491699	0.755026638507843	0.6863230754553729	0.7705129077609885
deepstarr_10_rep1_frac1.0	homologs_finetune	deepstarr_10	1	1.0	0.7182583808898926	0.7753461003303528	0.6918556690216064	0.7585597038269043	0.7002620275300658	0.7757488115871831
deepstarr_11_rep1_frac1.0	homologs	deepstarr_11	1	1.0	0.6396655440330505	0.7378283739089966	0.6842846870422363	0.7541980147361755	0.6877521420372563	0.7683241894926582
deepstarr_11_rep1_frac1.0	homologs_finetune	deepstarr_11	1	1.0	0.7211933732032776	0.777155876159668	0.6937187910079956	0.7567983269691467	0.700304261736765	0.774877951397922
deepstarr_12_rep1_frac1.0	homologs	deepstarr_12	1	1.0	0.611320436000824	0.7183763384819031	0.6716826558113098	0.7435230016708374	0.6717458496827828	0.76193621506946
deepstarr_12_rep1_frac1.0	homologs_finetune	deepstarr_12	1	1.0	0.6984953880310059	0.7608962059020996	0.6837814450263977	0.7574220895767212	0.6910308237569498	0.772261180502171
deepstarr_13_rep1_frac1.0	homologs	deepstarr_13	1	1.0	0.624894917011261	0.7281889319419861	0.6812693476676941	0.7598819732666016	0.6837854578025366	0.7704410949611515
deepstarr_13_rep1_frac1.0	homologs_finetune	deepstarr_13	1	1.0	0.7150138020515442	0.7740791440010071	0.6944897770881653	0.7642155885696411	0.698127979537787	0.7788089202246972
deepstarr_14_rep1_frac1.0	homologs	deepstarr_14	1	1.0	0.6201265454292297	0.7275188565254211	0.674799919128418	0.7503980398178101	0.6842434130780211	0.7673477921644334
deepstarr_14_rep1_frac1.0	homologs_finetune	deepstarr_14	1	1.0	0.711329996585846	0.7726598978042603	0.6887821555137634	0.7589493989944458	0.6984802373928083	0.7765091623130246
deepstarr_15_rep1_frac1.0	homologs	deepstarr_15	1	1.0	0.6238947510719299	0.7323981523513794	0.6822603940963745	0.756559431552887	0.6856797791146605	0.7742173949282581
